epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.05160275101661682,0.013231088407337666,0.052830397653571164,0.5738057691548941,0.03730600295942409,0.5215206552068773
2,0.01879171095788479,0.012541952542960644,0.09395818726987898,0.7407968871915243,0.21560137828544057,0.7655055307484957
3,0.03195546567440033,0.15577182173728943,0.13885078725375902,0.813765908496673,0.2739636766732066,0.8049693826838978
4,0.016472456976771355,0.009795821271836758,0.1804547502249235,0.8658685684360111,0.2699379213245306,0.8138135606790171
5,0.012492642737925053,0.012880786322057247,0.22370028374456272,0.8920916596621757,0.3100099695940137,0.8421821660437987
6,0.011230277828872204,0.00846660416573286,0.2551873431071452,0.9064037339457857,0.31213718531541146,0.8264618217314239
7,0.013306970708072186,0.006906441878527403,0.2913450437688838,0.9224754149129745,0.33508123819263635,0.8469832434927251
8,0.012052145786583424,0.007371143903583288,0.3174655248909825,0.9239977701106088,0.34537415711129604,0.8524018508533361
9,0.009354634210467339,0.006427841726690531,0.3280270663799674,0.9329152242548575,0.35164446661742305,0.8308653218091134
10,0.009940317831933498,0.007737982552498579,0.34864221844170906,0.9367839327596894,0.35412426280469056,0.8174464752498521
11,0.024188438430428505,0.00703856348991394,0.3627226087468442,0.9393723289091277,0.36018764151006394,0.8298739710351322
12,0.011094655841588974,0.010470947250723839,0.3622155084448293,0.9406580577381164,0.35845021828281504,0.8542236280177993
13,0.009070057421922684,0.007894588634371758,0.38065202285781163,0.9442612068928182,0.3382888067705924,0.8560438858960606
14,0.013506573624908924,0.0073068891651928425,0.3799531407149544,0.9435856583975197,0.35333676644257594,0.827920145079721
15,0.010435243137180805,0.020567938685417175,0.3979239044450229,0.9454890620086995,0.3559074480232407,0.8302628396529839
16,0.010108565911650658,0.006709577515721321,0.3978484044935971,0.9481464076241238,0.3635036149098164,0.825871545218599
17,0.009374216198921204,0.008551618084311485,0.4056363178489488,0.9478778658902517,0.334102142788536,0.8283225912434685
18,0.007916362024843693,0.03706752881407738,0.4044956314514899,0.9479446898948894,0.3596859635771651,0.8139174689286032
19,0.00863971933722496,0.0077787116169929504,0.40842534661173957,0.9480506537354451,0.3070462020769675,0.8198808165475144
20,0.006526556797325611,0.007874373346567154,0.40424806014242276,0.949964392652322,0.3636576230430895,0.827113371401996
21,0.009018171578645706,0.006283457390964031,0.409371196503684,0.9499915294143635,0.34351411404389676,0.8567636332078139
22,0.007928712293505669,0.007062200922518969,0.41159940757431446,0.9505386261090107,0.3437121028099895,0.83436089013181
23,0.010334160178899765,0.016126731410622597,0.41397275394934346,0.9510636361754055,0.34117469563460506,0.827322561349453
24,0.01331245992332697,0.00717796990647912,0.4257672724030698,0.9519084911095824,0.3485591554779665,0.8293788708835624
25,0.02317947708070278,0.0066185761243104935,0.42072537062977455,0.952189537249064,0.3561382227940505,0.8218280604068523
